version, n, celdas/s en c/paso
baseline,64,1345974.333524
fix-index,64,1362551.532763
independent-uops-first,64,1847448.530819
baseline,128,1257989.137725
fix-index,128,1339615.780283
independent-uops-first,128,2041370.352019
baseline,256,1290028.332530
fix-index,256,1284679.940128
independent-uops-first,256,1951171.179109
baseline,512,1257999.164049
fix-index,512,1326540.906106
independent-uops-first,512,2017914.474296
baseline,1024,513140.154955
fix-index,1024,1311217.672669
independent-uops-first,1024,1931134.139878
baseline,2048,442772.025502
fix-index,2048,1314476.780184
independent-uops-first,2048,1925167.993862
baseline,4096,335272.630069
fix-index,4096,1314917.064603
independent-uops-first,4096,1911539.285315
just-distribute,64,1512083.935257
just-distribute,128,1498967.995554
just-distribute,256,1571609.911880
just-distribute,512,1544521.757019
just-distribute,1024,1512167.420034
just-distribute,2048,1502796.613314
just-distribute,4096,1494367.921821
independent-uops-first,8192,1758180.623437
